"customer_id","churn_probability","tenure_in_months","monthly_charge","contract","internet_type","online_security","premium_tech_support"
"0002-ORFBO",0.95,4,73.9,"Month-to-Month","Fiber Optic","No","No"
"0003-MKNFE",0.976666666666667,13,98,"Month-to-Month","Fiber Optic","No","No"
"0004-TLHLJ",0.966666666666667,3,83.9,"Month-to-Month","Fiber Optic","No","Yes"
"0011-IGKFF",0.983333333333333,1,25.1,"Month-to-Month","Cable","No","No"
"0013-EXCHZ",0.776666666666667,13,94.1,"Month-to-Month","Fiber Optic","No","No"
"0013-MHZWF",0.756666666666667,1,30.5,"Month-to-Month","DSL","Yes","No"
"0013-SMEOE",0.866666666666667,2,49.25,"Month-to-Month","DSL","Yes","No"
"0014-BMAQU",0.776666666666667,40,104.5,"Month-to-Month","Fiber Optic","No","No"
"0015-UOCOJ",0.853333333333333,11,95,"Month-to-Month","Fiber Optic","No","No"
"0016-QLJIS",0.963333333333333,1,99.75,"Month-to-Month","Fiber Optic","No","No"
"0017-DINOC",0.683333333333333,49,84.35,"One Year","Cable","Yes","Yes"
"0017-IUDMW",0.686666666666667,37,40.2,"Month-to-Month","DSL","Yes","No"
"0018-NYROU",0.92,7,73.85,"Month-to-Month","Fiber Optic","No","No"
"0019-EFAEP",0.816666666666667,15,101.35,"Month-to-Month","Fiber Optic","No","Yes"
"0019-GFNTW",0.75,2,86.25,"Month-to-Month","Fiber Optic","Yes","Yes"
"0020-INWCK",0.776666666666667,12,89.75,"Month-to-Month","Fiber Optic","No","No"
"0020-JDNXP",0.976666666666667,1,80.2,"Month-to-Month","Fiber Optic","No","No"
"0021-IKXGC",0.836666666666667,25,94.7,"Month-to-Month","Fiber Optic","No","No"
"0022-TCJCI",0.876666666666667,1,70.9,"Month-to-Month","Fiber Optic","No","No"
"0023-HGHWL",0.663333333333333,22,54.2,"Month-to-Month","DSL","Yes","Yes"
"0023-UYUPN",0.76,58,105.5,"One Year","Fiber Optic","Yes","Yes"
"0023-XUOPT",0.816666666666667,10,85.25,"Month-to-Month","Fiber Optic","No","No"
"0027-KWYKW",0.936666666666667,6,84.35,"Month-to-Month","Fiber Optic","No","No"
"0030-FNXPP",0.66,70,115.55,"One Year","Fiber Optic","Yes","Yes"
